0 0.0125503 -0.00175589 
0.526316 -0.0638289 0.00911255 
1.05263 -0.0456164 0.00614842 
1.57895 -0.0495664 0.00654731 
2.10526 -0.0483259 0.00613167 
2.63158 -0.048303 0.00591516 
3.15789 -0.0479965 0.00565208 
3.68421 -0.0477581 0.00540192 
4.21053 -0.0475053 0.00515029 
4.73684 -0.0472575 0.00490064 
5.26316 0.0175476 0.00465213 
5.78947 0.00233124 0.00482444 
6.31579 0.00586241 0.00479917 
6.84211 0.00500161 0.00484319 
7.36842 0.00516994 0.00486536 
7.89474 0.00509733 0.00489375 
8.42105 0.00508135 0.00492022 
8.94737 0.00505227 0.00494703 
9.47368 0.00502643 0.00497356 
10 0.005 0.005 
